Year Period,N,Ov,Ob,NM,OvM,ObM,NF,OvF,ObF,NW,OvW,ObW,NWM,OvWM,ObWM,NWF,OvWF,ObWF,NB,OvB,ObB,NBM,OvBM,ObBM,NBF,OvBF,ObBF,NH,OvH,ObH,NHM,OvHM,ObHM,NHF,OvHF,ObHF,N100,Ov100,Ob100,N200,Ov200,Ob200,N300,Ov300,Ob300,N400,Ov400,Ob400
1,41.6,33.1,22.9,37.9,40.7,20.2,45,25.9,25.5,43.1,32.8,21.6,37.3,41.4,20.2,48.7,24.6,22.9,33.9,33,30.7,40.1,36.9,20.9,29.2,29.9,38.3,30.1,39.6,29.3,30.2,45.1,23.8,29.8,33.2,38,37.5,30,34.7,39.3,31.9,26.1,41.8,33.3,22.7,45.5,33.7,18.7
2,33,34.7,30.4,30.2,41.3,27.5,35.7,28.4,33.2,34.6,33.9,29.4,29.6,41.4,28,39.5,26.5,30.7,27.6,31.3,39.2,34.7,34.8,27.8,21.6,28.6,48.6,26.9,39.6,32.7,26.5,45.5,29.1,27.5,33.6,39.4,32.7,29.7,33.7,30.5,33.2,34.1,29.6,36.5,32.1,36.5,36.7,25.5
3,32.3,34.6,31.4,28.3,41,29.5,36.1,28.4,33.2,33.9,33.8,30.5,28,40.8,30.2,39.8,26.9,30.7,24.2,32,42,30.8,36.2,30.8,18.9,28.5,51.1,25.9,39.7,34.1,25.3,46.3,29.5,26.5,32.1,41.8,34.3,30.7,35,31.9,32.6,33.6,29.4,35.5,33.3,35.1,36.4,27.3
4,31.6,33.3,33.4,26.6,39.7,32.4,36.5,27,34.3,33.2,32.8,32,26.8,39.4,32.4,39.6,26.3,31.6,22.7,30.6,45.5,27,35.9,35.7,19.2,26.4,53.4,24.4,39.7,35.3,23.8,45.7,32,25.1,31.5,43.3,32.1,45.4,27.8,31.3,30.6,35.9,29.7,33.3,35.7,33.7,45.4,28.9
5,30.8,33.5,34,26.1,40.2,32.7,35.2,27.1,35.4,32.1,33.2,32.8,26,40.3,32.6,37.8,26.5,33.1,23.3,30.1,45,26.7,34.2,37.5,20.4,27,51,22.7,39.2,37.3,21.8,45,36.3,24.1,33.4,44.6,29.1,31.8,35.9,28.3,31.6,38,30,33,35.7,33.5,35.3,29.4
6,29.8,33.8,34.7,25.7,39.4,33.9,33.7,28.4,35.5,31.4,33.5,33.3,25.5,39.5,34.1,36.9,27.8,32.5,22.7,28.5,47,28.5,31.7,38.3,17.9,26,54,19.6,39.6,40.3,18.5,41.7,40.2,21.3,32,46.3,27.3,32.5,37.2,27.6,33.2,37.3,29.7,31.8,36.8,32.1,34,31.3
7,29.6,33.4,35.3,26.2,38.3,34.6,32.8,28.7,35.9,31.2,33.6,33.4,26.2,38.8,34.4,36,28.6,32.3,21.7,27.7,48.8,28,32.1,38.1,16.4,24.3,57.5,19,37.1,43.2,17.5,39.4,43.3,20.9,30.7,49.6,27.3,31.7,38.3,26.5,31.6,40.1,30,31.3,37,32,36.7,30.2
8,28.9,33.1,36.4,26,38.5,34.5,31.7,28.1,38.1,30,33.9,34.6,25.6,39.7,34,34.3,28.2,35.3,22,28.3,48,29,31.7,37.9,16,25.5,56.5,17.7,35.2,46.4,16.5,38.9,44,19.1,32.8,51.7,28.1,29.9,39.2,24.6,31.3,42.6,27.5,32.8,38.8,33.4,37.1,29.7
9,27.7,32.1,38.8,24.2,37.8,36.8,31,26.7,40.7,28.8,32.4,37.4,23.6,38.3,37,33.8,26.7,37.9,22.5,28.2,47.9,28.4,32.6,38,17.6,24.6,56,15.9,35.9,47.9,16.9,37.1,48.8,15,32.3,51.4,26.4,29.4,42.2,24.4,30.8,42.7,26,31.3,41.6,31.6,31.6,34
10,26,31.4,41.1,22.5,35.9,40.5,29.4,27.3,41.5,27.8,30.3,40.2,23.4,34.2,41.3,31.9,26.8,39,22.4,27.6,48.6,26.4,32.6,39.3,19.2,23.4,56.2,14.6,34.9,50,13.9,33.7,35.2,15.5,31.5,28.1,24.3,29.5,44,25.4,29.8,42.8,24.6,30.5,43.3,27.6,29.1,38.3
